URL_ID,URL,POSITIVE SCORE_x,NEGATIVE SCORE_x,POLARITY SCORE_x,SUBJECTIVITY SCORE_x,AVG SENTENCE LENGTH_x,PERCENTAGE OF COMPLEX WORDS,FOG INDEX_x,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT_x,WORD COUNT_x,SYLLABLE PER WORD_x,PERSONAL PRONOUNS,AVG WORD LENGTH_x,POSITIVE SCORE_y,NEGATIVE SCORE_y,POLARITY SCORE_y,SUBJECTIVITY SCORE_y,AVG SENTENCE LENGTH_y,FOG INDEX_y,WORD COUNT_y,COMPLEX WORD COUNT_y,AVG WORD LENGTH_y,SYLLABLE PER WORD_y
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,,,,,,,,,,,,,,6,1,0.7142857142857143,0.28076923076923077,17.9,17.36,256,136,7.78125,2.2265625
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,,,,,,,,,,,,,,10,6,0.25,0.3339861751152074,13.0,12.53,567,252,7.082892416225749,2.056437389770723
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,,,,,,,,,,,,,,10,3,0.5384615384615384,0.319298245614035,17.8,16.7,289,150,7.629757785467128,2.1868512110726646
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,,,,,,,,,,,,,,23,10,0.3939393939393939,0.37121428571428583,15.2,16.4,506,308,8.029644268774703,2.4466403162055337
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,, ,,,,,,,,,,,,3,1,0.5,0.31071428571428567,18.3,17.79,259,128,7.8494208494208495,2.247104247104247
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,,,,,,,,,,,,,,6,1,0.7142857142857143,0.28076923076923077,17.9,17.36,256,136,7.78125,2.2265625
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,,,,,,,,,,,,,,10,6,0.25,0.3339861751152074,13.0,12.53,567,252,7.082892416225749,2.056437389770723
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,,,,,,,,,,,,,,10,3,0.5384615384615384,0.319298245614035,17.8,16.7,289,150,7.629757785467128,2.1868512110726646
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,,,,,,,,,,,,,,23,10,0.3939393939393939,0.37121428571428583,15.2,16.4,506,308,8.029644268774703,2.4466403162055337
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,,,,,,,,,,,,,,52,11,0.6507936507936508,0.47101759351759354,14.6,13.21,1296,769,7.793981481481482,2.2839506172839505
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,,,,,,,,,,,,,,18,7,0.44,0.3553763440860215,14.5,16.06,426,256,8.185446009389672,2.4178403755868545
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,,,,,,,,,,,,,,25,3,0.7857142857142857,0.4292857142857142,16.2,16.82,539,344,8.519480519480519,2.5714285714285716
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,,,,,,,,,,,,,,18,5,0.5652173913043478,0.38337438423645315,14.4,16.46,379,222,8.87335092348285,2.467018469656992
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,,,,,,,,,,,,,,14,5,0.47368421052631576,0.39391495601173016,16.9,17.97,385,224,8.32987012987013,2.3766233766233764
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,,,,,,,,,,,,,,59,24,0.42168674698795183,0.3473832639852057,13.3,13.21,973,542,8.05960945529291,2.4059609455292907
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,,,,,,,,,,,,,,7,1,0.75,0.27058823529411763,15.5,16.29,330,170,7.827272727272727,2.257575757575758
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,,,,,,,,,,,,,,40,6,0.7391304347826086,0.4086079945695331,15.0,16.05,650,396,8.161538461538461,2.44
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,,,,,,,,,,,,,,6,3,0.3333333333333333,0.319047619047619,15.1,16.0,262,138,8.377862595419847,2.3282442748091605
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,,,,,,,,,,,,,,10,6,0.25,0.461904761904762,18.2,18.98,408,217,8.080882352941176,2.2058823529411766
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,,,,,,,,,,,,,,20,3,0.7391304347826086,0.34732142857142856,15.6,15.49,364,203,8.156593406593407,2.3543956043956045
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,,,,,,,,,,,,,,11,2,0.6923076923076923,0.28214285714285714,11.6,13.13,336,166,7.401785714285714,2.175595238095238
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,,,,,,,,,,,,,,10,3,0.5384615384615384,0.3363408521303258,12.1,14.19,349,192,7.868194842406877,2.320916905444126
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,,,,,,,,,,,,,,11,3,0.5714285714285714,0.32613378684807254,12.1,14.35,339,172,7.657817109144543,2.15929203539823
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,,,,,,,,,,,,,,15,2,0.7647058823529411,0.36148717948717946,11.6,14.73,335,195,7.907462686567164,2.298507462686567
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,,,,,,,,,,,,,,16,3,0.6842105263157895,0.4191666666666666,11.7,13.95,338,190,7.914201183431953,2.269230769230769
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,,,,,,,,,,,,,,13,9,0.18181818181818182,0.4266917293233082,11.7,14.68,350,191,7.942857142857143,2.2942857142857145
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,,,,,,,,,,,,,,9,1,0.8,0.3547619047619047,15.7,16.47,319,173,8.401253918495298,2.3260188087774294
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,,,,,,,,,,,,,,17,3,0.7,0.46773504273504285,16.3,15.46,429,226,7.769230769230769,2.2214452214452214
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,,,,,,,,,,,,,,13,4,0.5294117647058824,0.35666666666666663,14.3,15.1,375,195,8.586666666666666,2.4133333333333336
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,,,,,,,,,,,,,,20,8,0.42857142857142855,0.45386396011396024,12.8,14.46,505,285,8.009900990099009,2.302970297029703
